Timestamp,q.w,q.i,q.j,q.k,euler
1716936526109,0.9999061,-0.003662221,-0.013184,0.0007019257,[179.91401008   1.51051376  -0.42083071]
1716936526109,0.9999024,-0.003784295,-0.01342814,0.0007019257,[179.91371886   1.53848189  -0.43484698]
1716936526109,0.9999034,-0.003631703,-0.01339763,0.0007019257,[179.91396651   1.53499852  -0.4173534 ]
1716936526109,0.9999014,-0.003723258,-0.0135197,0.0007019257,[179.91377339   1.54898003  -0.42785967]
1716936526109,0.9999032,-0.00369274,-0.01339763,0.0007019257,[179.91387279   1.53499323  -0.42434965]
1716936526109,0.9999035,-0.003723258,-0.01336711,0.0007019257,[179.91383906   1.53149297  -0.42784474]
1716936526109,0.9999028,-0.00369274,-0.01342814,0.0007019257,[179.91385977   1.5384897   -0.42435262]
1716936526109,0.9998986,-0.003814814,-0.01370281,0.0007019257,[179.91355079   1.56995671  -0.43837216]
1716936526109,0.9998971,-0.003753777,-0.01382488,0.0007019257,[179.91359367   1.58395148  -0.43138784]
1716936526109,0.999896,-0.003814814,-0.01388592,0.0007019257,[179.91347004   1.59094152  -0.43839025]
1716936526109,0.999896,-0.003936888,-0.0138554,0.0007019257,[179.91328965   1.58743323  -0.45238   ]
1716936526109,0.9998936,-0.003906369,-0.01403851,0.0007019257,[179.91325544   1.60842055  -0.44889991]
1716936526109,0.9998919,-0.003784295,-0.01419111,0.0007019257,[179.91338508   1.62591943  -0.43492212]
1716936526109,0.9998909,-0.00369274,-0.01428266,0.0007019257,[179.91349489   1.63641927  -0.4244365 ]
1716936526109,0.999891,-0.003570666,-0.01431318,0.0006714072,[179.91718035   1.63993989  -0.41039638]
1716936526109,0.9998892,-0.003814814,-0.01437422,0.0006714072,[179.91675289   1.64691499  -0.43838832]
1716936526109,0.99989,-0.004058962,-0.01425214,0.0007019257,[179.9129097    1.63288967  -0.46641249]
1716936526109,0.9998919,-0.003997925,-0.01413007,0.0007019257,[179.91306581   1.61890563  -0.4594038 ]
1716936526109,0.999892,-0.00408948,-0.01409955,0.0007019257,[179.91293196   1.61539995  -0.46989537]
1716936526109,0.9998918,-0.004150517,-0.01409955,0.0007019257,[179.91283333   1.61539455  -0.47689182]
1716936526109,0.9998919,-0.003997925,-0.01413007,0.0007019257,[179.91306581   1.61890563  -0.4594038 ]
1716936526109,0.9998945,-0.003997925,-0.01394696,0.0006714072,[179.91664857   1.59793489  -0.45933673]
1716936526109,0.9998952,-0.004150517,-0.0138554,0.0006714072,[179.91644855   1.58742915  -0.47681884]
1716936526109,0.9998977,-0.004150517,-0.01367229,0.0006714072,[179.91653632   1.56644452  -0.47680115]
1716936526109,0.9998991,-0.003997925,-0.01361126,0.0006714072,[179.91680361   1.55946321  -0.45930453]
1716936526109,0.999899,-0.003936888,-0.01364177,0.0006714072,[179.91688496   1.56296466  -0.45231108]
1716936526109,0.9998996,-0.003875851,-0.01361126,0.0006714072,[179.91699405   1.55947333  -0.44531188]
1716936526109,0.9999007,-0.003814814,-0.01355022,0.0006714072,[179.91711617   1.55248307  -0.43830975]
1716936526109,0.9999004,-0.003784295,-0.01358074,0.0006714072,[179.91715022   1.55598324  -0.43481444]
1716936526109,0.9998973,-0.003936888,-0.01376385,0.0006714072,[179.91682943   1.57695524  -0.45232277]
1716936526109,0.9998966,-0.003906369,-0.01382488,0.0006714072,[179.91685003   1.58395187  -0.44883035]
1716936526109,0.9998963,-0.003875851,-0.0138554,0.0006714072,[179.91688472   1.58745204  -0.44533513]
1716936526109,0.9998955,-0.003967406,-0.01388592,0.0006408887,[179.92022349   1.59095604  -0.45578403]
1716936526109,0.9998953,-0.004028443,-0.01388592,0.0006408887,[179.92012635   1.5909511   -0.46278041]
1716936526109,0.9998923,-0.004028443,-0.01409955,0.0006408887,[179.92002695   1.6154335   -0.46280027]
1716936526109,0.9998911,-0.003997925,-0.01419111,0.0006408887,[179.92003399   1.62592895  -0.45931062]
1716936526109,0.9998893,-0.003906369,-0.0143437,0.0006408887,[179.92011404   1.6434234   -0.44882996]
1716936526109,0.9998868,-0.003997925,-0.01449629,0.0006408887,[179.91989305   1.66090318  -0.45933904]
1716936526109,0.9998879,-0.003814814,-0.01446577,0.0006408887,[179.92021075   1.65742024  -0.4383465 ]
1716936526109,0.9998889,-0.003784295,-0.01440474,0.0006103702,[179.92378627   1.65044177  -0.43479215]
1716936526109,0.9998867,-0.003662221,-0.01458785,0.0006103702,[179.92391032   1.67143598  -0.42081522]
1716936526109,0.9998863,-0.003509629,-0.01464888,0.0006103702,[179.92414071   1.67844189  -0.40332914]
1716936526109,0.9998898,-0.003418073,-0.01443525,0.0006103702,[179.92437888   1.65396607  -0.39281552]
1716936526109,0.999891,-0.003326518,-0.01437422,0.0005798517,[179.92805207   1.64699046  -0.38226519]
1716936526109,0.9998911,-0.003295999,-0.01437422,0.0005798517,[179.92810235   1.64699266  -0.37876687]
1716936526109,0.9998916,-0.003387555,-0.01431318,0.0005798517,[179.9279754    1.63999083  -0.38925667]
1716936526109,0.9998919,-0.003570666,-0.01425214,0.0005798517,[179.92770017   1.63298217  -0.41024106]
1716936526109,0.9998919,-0.003570666,-0.01425214,0.0005798517,[179.92770017   1.63298217  -0.41024106]
1716936526109,0.9998896,-0.003601184,-0.01440474,0.0005798517,[179.92758683   1.65046832  -0.41375211]
1716936526109,0.9998873,-0.003967406,-0.01446577,0.0005798517,[179.9269542    1.65743594  -0.45573669]
1716936526109,0.999885,-0.003875851,-0.01464888,0.0005798517,[179.92702405   1.67842753  -0.44525762]
1716936526109,0.999882,-0.004181036,-0.01477096,0.0005798517,[179.92645269   1.69239586  -0.48025148]
1716936526109,0.9998804,-0.004547258,-0.01477096,0.0005798517,[179.92583265   1.69236881  -0.52223155]
1716936526109,0.9998781,-0.004547258,-0.01492355,0.0005798517,[179.92575258   1.70985613  -0.52224527]
1716936526109,0.9998769,-0.004516739,-0.01501511,0.0005493332,[179.92925537   1.72036727  -0.51870254]
1716936526109,0.999877,-0.004394665,-0.01504563,0.0005493332,[179.92945      1.72387357  -0.50471163]
1716936526109,0.9998786,-0.004455702,-0.01492355,0.0005493332,[179.9294075    1.70987842  -0.51169788]
1716936526109,0.9998787,-0.004425184,-0.01492355,0.0005188147,[179.93295799   1.70989618  -0.50814739]
1716936526109,0.9998803,-0.004272591,-0.01486251,0.0005188147,[179.93324911   1.70291096  -0.49065053]
