Timestamp,q.w,q.i,q.j,q.k,euler
1717193247917,0.7330544,-0.01293985,0.6800439,-0.002014222,[-164.68941498  -85.53587356  -16.19655297]
1717193247917,0.7330545,-0.01293985,0.6800439,-0.001983703,[-164.72123971  -85.53653708  -16.16720289]
1717193247917,0.7331701,-0.01281777,0.6799219,-0.001892148,[-165.00006875  -85.52263212  -15.88590266]
1717193247917,0.7332574,-0.0126957,0.6798303,-0.001800592,[-165.2612559   -85.51321449  -15.62224388]
1717193247917,0.7332291,-0.0126957,0.6798608,-0.001770074,[-165.27705706  -85.5184638   -15.60891599]
1717193247917,0.7332562,-0.01275674,0.6798303,-0.001831111,[-165.17075046  -85.51135822  -15.71522496]
1717193247917,0.7332562,-0.01275674,0.6798303,-0.001831111,[-165.17075046  -85.51135822  -15.71522496]
1717193247917,0.7332285,-0.01272622,0.6798608,-0.001800592,[-165.21586686  -85.51721332  -15.67010673]
1717193247917,0.7331996,-0.01275674,0.6798913,-0.001831111,[-165.1386362   -85.52055686  -15.74733646]
1717193247917,0.7331418,-0.01281777,0.6799524,-0.001892148,[-164.98381232  -85.52722786  -15.90215771]
1717193247917,0.7330279,-0.01284829,0.6800745,-0.001922666,[-164.85693461  -85.54434239  -16.02903044]
1717193247917,0.7330002,-0.01281777,0.680105,-0.001892148,[-164.90197092  -85.55021671  -15.98399221]
1717193247917,0.7330021,-0.01272622,0.680105,-0.001800592,[-165.08676164  -85.55402357  -15.79920079]
1717193247917,0.7329744,-0.0126957,0.6801355,-0.001770074,[-165.13219958  -85.55988381  -15.75376093]
1717193247917,0.7329177,-0.0126957,0.6801965,-0.001770074,[-165.09962615  -85.56908825  -15.78633166]
1717193247917,0.7328894,-0.0126957,0.680227,-0.001770074,[-165.08330254  -85.57368618  -15.80265389]
1717193247917,0.7329171,-0.01272622,0.6801965,-0.001800592,[-165.03778782  -85.56782294  -15.84817054]
1717193247917,0.732946,-0.0126957,0.680166,-0.001770074,[-165.11591594  -85.56448996  -15.77004326]
1717193247917,0.732946,-0.0126957,0.680166,-0.001770074,[-165.11591594  -85.56448996  -15.77004326]
1717193247917,0.7329755,-0.01263466,0.6801355,-0.001709037,[-165.25571725  -85.56240105  -15.63024233]
1717193247917,0.7329761,-0.01260414,0.6801355,-0.001678518,[-165.31754265  -85.5636482   -15.56841647]
1717193247917,0.733005,-0.01257363,0.680105,-0.001648,[-165.39537655  -85.56028557  -15.49058423]
1717193247917,0.7329779,-0.01251259,0.6801355,-0.001617481,[-165.47109109  -85.56671998  -15.41239271]
1717193247917,0.7330068,-0.01248207,0.680105,-0.001586962,[-165.54887192  -85.56334132  -15.3346128 ]
1717193247917,0.7330056,-0.01254311,0.680105,-0.001648,[-165.42513406  -85.56088071  -15.45835157]
1717193247917,0.7330039,-0.01263466,0.680105,-0.001709037,[-165.27184829  -85.55779185  -15.61411261]
1717193247917,0.7330039,-0.01263466,0.680105,-0.001709037,[-165.27184829  -85.55779185  -15.61411261]
1717193247917,0.7329761,-0.01260414,0.6801355,-0.001678518,[-165.31754265  -85.5636482   -15.56841647]
1717193247917,0.7329738,-0.01272622,0.6801355,-0.001800592,[-165.07048006  -85.55862123  -15.81548099]
1717193247917,0.7329436,-0.01281777,0.680166,-0.001892148,[-164.86901971  -85.55940346  -16.01694066]
1717193247917,0.7329134,-0.01290933,0.6801965,-0.001983703,[-164.66748227  -85.56013063  -16.21847832]
1717193247917,0.732855,-0.01300089,0.6802576,-0.00204474,[-164.48089459  -85.56606819  -16.40753932]
1717193247917,0.73277,-0.01300089,0.6803491,-0.00204474,[-164.429896    -85.57982655  -16.45853382]
1717193247917,0.7328556,-0.01297037,0.6802576,-0.002014222,[-164.54254661  -85.56737999  -16.34588676]
1717193247917,0.7328556,-0.01297037,0.6802576,-0.002014222,[-164.54254661  -85.56737999  -16.34588676]
1717193247917,0.7329134,-0.01290933,0.6801965,-0.001983703,[-164.66748227  -85.56013063  -16.21847832]
1717193247917,0.732887,-0.01281777,0.680227,-0.001892148,[-164.83593197  -85.56858873  -16.05002565]
1717193247917,0.7328027,-0.01278726,0.6803186,-0.001831111,[-164.88012483  -85.58432244  -16.00830353]
1717193247917,0.7328038,-0.01272622,0.6803186,-0.001800592,[-164.9719946   -85.58622265  -15.91395824]
1717193247917,0.732776,-0.0126957,0.6803491,-0.001770074,[-165.01758376  -85.59209741  -15.86836723]
1717193247917,0.7327195,-0.0126957,0.6804101,-0.001739555,[-165.01688385  -85.60194052  -15.87153897]
1717193247917,0.7326916,-0.01266518,0.6804407,-0.001739555,[-165.03029555  -85.60717142  -15.85565083]
1717193247917,0.7327754,-0.01272622,0.6803491,-0.001800592,[-164.95544652  -85.59082525  -15.930505  ]
1717193247917,0.7328328,-0.0126957,0.6802881,-0.001739555,[-165.08270139  -85.58354507  -15.80572689]
1717193247917,0.7329184,-0.01266518,0.6801965,-0.001709037,[-165.19363198  -85.57099227  -15.69479992]
1717193247917,0.7329755,-0.01263466,0.6801355,-0.001709037,[-165.25571725  -85.56240105  -15.63024233]
1717193247917,0.7330027,-0.0126957,0.680105,-0.001770074,[-165.14842197  -85.55528481  -15.73753993]
1717193247917,0.733031,-0.0126957,0.6800745,-0.001770074,[-165.16461083  -85.55068544  -15.72135244]
1717193247917,0.7330859,-0.01278726,0.6800134,-0.001831111,[-165.04445293  -85.53834066  -15.84398926]
1717193247917,0.7331123,-0.01287881,0.6799829,-0.001922666,[-164.87676035  -85.52993005  -16.01168401]
1717193247917,0.7331117,-0.01290933,0.6799829,-0.001953185,[-164.81552625  -85.52864606  -16.07291857]
1717193247917,0.7331683,-0.01290933,0.6799219,-0.001953185,[-164.84836355  -85.51946177  -16.04008404]
1717193247917,0.7331123,-0.01287881,0.6799829,-0.001922666,[-164.87676035  -85.52993005  -16.01168401]
1717193247917,0.7330557,-0.01287881,0.6800439,-0.001922666,[-164.84390447  -85.53911562  -16.04453713]
1717193247917,0.7330287,-0.01281777,0.6800745,-0.001861629,[-164.95034887  -85.5462693   -15.93809022]
1717193247917,0.7329147,-0.01284829,0.6801965,-0.001922666,[-164.79079671  -85.56271038  -16.09516283]
